,mean_score,best_score,iteration
0,12262.4,20520,0
1,12978.0,20520,1
2,13540.4,19760,2
3,13968.6,19760,3
4,14403.0,19760,4
5,14830.6,19760,5
6,15042.0,19760,6
7,15353.6,19760,7
8,15612.0,19760,8
9,15846.4,19760,9
10,15965.2,19740,10
11,16334.0,20600,11
12,16465.8,20600,12
13,16705.8,20600,13
14,17033.0,21180,14
15,17199.0,21180,15
16,17339.4,21180,16
17,17480.0,21540,17
18,17800.2,21540,18
19,18110.0,22120,19
20,18316.4,22120,20
21,18393.0,21700,21
22,18460.2,21700,22
23,18746.8,22120,23
24,19027.2,22900,24
25,19179.8,22120,25
26,19353.4,22200,26
27,19458.2,22200,27
28,19552.2,22200,28
29,19650.8,22100,29
30,19837.0,23500,30
31,19961.8,23500,31
32,20128.8,23020,32
33,20309.6,23820,33
34,20545.6,23820,34
35,20644.4,23020,35
36,20866.4,23860,36
37,20871.6,24600,37
38,20926.6,24600,38
39,21056.8,24600,39
40,21218.2,24600,40
41,21417.0,24800,41
42,21499.6,24120,42
43,21606.0,24120,43
44,21686.8,24880,44
45,21701.4,25100,45
46,21815.6,25440,46
47,21947.4,25440,47
48,22111.8,25440,48
49,22194.0,25440,49
50,22396.4,25440,50
51,22601.8,25440,51
52,22721.2,25440,52
53,22704.8,25440,53
54,22763.0,25440,54
55,22847.4,25760,55
56,22940.4,26940,56
57,23117.2,26940,57
58,23257.0,27240,58
59,23397.4,27240,59
60,23577.0,27240,60
61,23758.6,27240,61
62,23770.0,27240,62
63,23926.0,27240,63
64,23989.6,27240,64
65,24106.0,27240,65
66,24175.8,27240,66
67,24280.2,26740,67
68,24404.0,27200,68
69,24494.4,27200,69
70,24529.2,27200,70
71,24579.4,27200,71
72,24609.8,27200,72
73,24630.4,27200,73
74,24683.4,27200,74
75,24682.0,26900,75
76,24708.2,26900,76
77,24717.6,26900,77
78,24704.0,26760,78
79,24761.0,26760,79
80,24782.4,26800,80
81,24904.6,26760,81
82,24971.8,26760,82
83,25032.0,26760,83
84,25019.6,26760,84
85,25115.8,28600,85
86,25262.6,28600,86
87,25386.8,29400,87
88,25449.4,28600,88
89,25530.6,28600,89
90,25593.6,28600,90
91,25739.8,28600,91
92,25737.0,28600,92
93,25745.2,29200,93
94,25817.8,29200,94
95,25951.0,29200,95
96,26013.4,29200,96
97,26146.6,29200,97
98,26190.4,29200,98
99,26288.6,30600,99
100,26530.6,30600,100
101,26496.6,30600,101
102,26648.2,30600,102
103,26776.0,30600,103
104,26757.4,29900,104
105,26986.6,29900,105
106,27192.4,29900,106
107,27285.8,30000,107
108,27397.0,30640,108
109,27510.0,30640,109
110,27602.0,30000,110
111,27663.8,30800,111
112,27824.2,30800,112
113,27883.6,30800,113
114,27930.6,30800,114
115,28037.8,30800,115
116,28039.2,30800,116
117,28146.2,30800,117
118,28138.6,30800,118
119,28165.8,30900,119
120,28233.6,31000,120
121,28231.4,31000,121
122,28352.2,31000,122
123,28375.0,30700,123
124,28417.6,30700,124
125,28460.0,30700,125
126,28496.4,30700,126
127,28586.4,30700,127
128,28588.8,30700,128
129,28645.6,30700,129
130,28666.8,30700,130
131,28747.0,31400,131
132,28767.6,31400,132
133,28863.2,31400,133
134,28821.4,31400,134
135,28897.8,31400,135
136,28942.8,31400,136
137,28998.4,31400,137
138,29035.0,31400,138
139,28995.8,31400,139
140,29026.0,31400,140
141,29013.0,31400,141
142,29038.6,31400,142
143,29009.6,31200,143
144,29025.2,31400,144
145,28979.4,30840,145
146,28993.2,31400,146
147,29000.2,31400,147
148,29040.6,31400,148
149,28964.8,30980,149
